Puré de manzana
Puré de pera
Puré de calabaza
Puré de zanahoria
Puré de patata
Puré de brócoli
Puré de espinacas
Puré de guisantes
Puré de lentejas
Puré de garbanzos
Puré de judías verdes
Puré de pollo
Puré de pavo
Puré de ternera
Puré de salmón
Puré de merluza
Puré de bacalao
Puré de gambas
Puré de champiñones
Puré de calabacín
Puré de remolacha
Puré de coliflor
Puré de alcachofas
Puré de habas
Puré de tomate
Puré de fresas
Puré de plátano
Puré de mango
Puré de papaya
Puré de melón
Puré de sandía
Puré de piña
Puré de kiwi
Puré de naranja
Puré de mandarina
Puré de pomelo
Puré de pera y melocotón
Puré de manzana y pera
Puré de mango y piña
Puré de pollo y verduras
Puré de ternera y patatas
Puré de pavo y zanahoria
Puré de salmón y brócoli
Puré de lentejas y arroz
Puré de garbanzos y calabacín
Puré de judías verdes y pollo
Puré de gambas y arroz
Puré de champiñones y pollo
Puré de coliflor y patata
Puré de habas y zanahoria
Puré de tomate y arroz
Puré de fresas y plátano
Puré de melocotón y piña
Puré de mango y papaya
Puré de manzana y melocotón
Puré de pavo y judías verdes
Puré de pollo y patata
Puré de ternera y zanahoria
Puré de salmón y espinacas
Puré de lentejas y zanahoria
Puré de garbanzos y espinacas
Puré de gambas y espinacas
Puré de champiñones y patata
Puré de coliflor y brócoli
Puré de habas y patata
Puré de tomate y pollo
Puré de fresas y mango
Puré de piña y melocotón
Puré de manzana y piña
Puré de pavo y zanahoria
Puré de pollo y brócoli
Puré de ternera y patatas
Puré de salmón y arroz
